Question,Answer
Can I ask for help after I join the Academy?                                         ,Yes! Join the Discord community after signing up. You can ask questions anytime—either I or someone from my team will help you out.                                                                       
"Which cloud platform is best for data science and data engineering—Azure, AWS, or GCP? ","All platforms are used, but Azure has strong data engineering tools. We're also building a course in the Academy using Azure, Terraform, and CI/CD. Each platform has strengths, so your choice can align with your target industry. "
How is CI/CD used in data engineering compared to traditional DevOps?                  ,"The principles are similar, but in data engineering, CI/CD often applies to data pipelines or model deployments rather than traditional app deployments. The tools and process logic are comparable.                                 "
When does your coaching program start?                                                 ,"The current cohort starts next week, though it might be postponed by a week.                                                                                                                                                         "
I have knowledge in many areas but lack depth—can this program help me consolidate and progress? ,"Yes, the 12-week program is ideal for turning your broad knowledge into hands-on experience by building an end-to-end project that reflects real-world scenarios.                                   "
I want to apply for full-stack data engineering roles. Can your program support that?            ,"Yes, that’s exactly what we aim for. The program guides you in building the necessary skills and project experience to apply for full-stack data engineer roles.                                    "
Should I include my DevOps skills like Docker and CI/CD in my project?                 ,"Yes, absolutely. Including Docker and automated deployment demonstrates your broader capabilities and helps build a more compelling portfolio.                                                                                       "
Do you help with job applications or have preferred companies to apply to?             ,"We don’t partner directly with companies. Instead, we help you identify target industries and align your project with their needs to stand out.                                                                                      "
Do your students typically find jobs after the program?                                                          ,"Yes. Students have landed jobs globally, including in Germany and the Philippines, and made transitions like from analyst to engineer—because they followed the program and put in consistent effort.                                "
Can you help me with job applications and interviews later?                                      ,"Yes. We’ll go over your CV, LinkedIn, and project documentation, and support you during applications and interviews with feedback and guidance.                                                     "
What’s the biggest reason people don’t succeed in your program?                        ,"The main reason is lack of discipline. The content and support work well if you stay committed, show up for coaching, and keep progressing on your project.                                                                          "
Are there success stories or public profiles of students I can look at?                                          ,"Yes, we can share examples of past students who built strong portfolios and found jobs.                                                                                                                                              "
How does your coaching differ from a bootcamp?                                                                                 ,"Bootcamps are one-size-fits-all. Everyone learns the same thing in a fixed timeline. Our program is personalized. You learn what you actually need, at your pace, with continuous support and real project-building.                            "
How does your coaching compare to bootcamps like Wilson’s?                                                       ,"Bootcamps are rigid and structured for the masses. Our coaching is personalized—ideal if you need flexibility, exploration, and one-on-one mentoring to build a strong portfolio tailored to your goals.                             "
How is your approach different from other programs like Sumit Mittal’s or Zach Wilson’s?                   ,"Our approach isn’t a bootcamp. It’s personalized. You’re not forced to follow a fixed curriculum—everything is tailored to your experience, needs, and goals.                                "
What kind of companies do your students usually get hired by?                          ,Mostly mid-sized companies and consulting firms across various countries like Germany and the Philippines. It's more about your effort and staying consistent with the program than about geography or company size.                 
What’s the most important factor for success in this program?                                                    ,"Consistency. Attend sessions weekly, work on your project regularly, and engage with mentors. Everyone who followed through consistently ended up landing a job.                                                                     "
What tools should I focus on if I’m based in Poland?                                             ,"In Poland, Azure is common, but also focus on Docker, Kubernetes, PySpark, SQL, and data modeling—these are widely requested across companies.                                                      "
Will I receive help preparing for interviews with top companies like Amazon or Google?                       ,"Yes. Share the job description with us beforehand. Then we’ll use the coaching session to review key topics, provide mock interview guidance, and give feedback based on your experience.                                     "
Can I improve my SQL and PySpark skills during the program?                                      ,"Yes, you’ll use SQL and PySpark in your project, and we provide support material and mentoring to help you strengthen those skills.                                                                 "
My laptop is old—can I use a small server instead?                                               ,"No need for a server. Just use a machine with at least 16GB of RAM, which is enough for Docker and open-source tools. We can help you configure it if needed.                                       "
When does the next cohort start?                                                                 ,"The next cohort starts Monday. From then, the structured 12-week period begins.                                                                                                                     "
I’ve been self-learning after a career gap but haven't seen results. Can this program help me get back on track? ,"Yes, we can guide you through building a real project, documenting it, improving your CV, and applying for jobs, with support at each stage—from planning to interviews.                                                             "
Are the coaching sessions group-based or one-on-one?                                           ,"Sessions are small-group based (3–4 people), but you’ll have one-on-one time in each session. Private topics can be discussed at the end once others drop off.                                                                "
I’m uncomfortable posting on LinkedIn—how important is it?                                                       ,It’s not about becoming an influencer. Just share small insights or learnings from your project to show recruiters you're active. We help you choose and promote this content to increase visibility.                                
When does the next cohort start and how many people are in it?                                                   ,"The next cohort starts Tuesday. We are taking up to 10 people, and currently have 2 confirmed, so there are still 8 slots available.                                                                                                 "
What’s the deadline to join the upcoming cohort?                                                                 ,You need to register by Monday (26th).                                                                                                                                                                                               
What are the payment options for coaching?                                                     ,"You can pay upfront or in three monthly installments. If you already paid for the Academy, we’ll deduct that from your coaching fee either through a discount code or a refund depending on the method you choose.            "
Do any of the mentors offer live support during the workday?                                   ,"No, mentors can’t jump on live calls during the day, but they’re available for async support via messaging platforms. The live support happens in the scheduled weekly sessions.                                              "
How is the upgrade from Academy access to coaching handled financially?                        ,"We subtract what you've already paid (for annual and unlimited access) from the total coaching fee. You pay only the difference, either through a discounted one-time payment or via installment refund on the third payment. "
What’s the process if I want to join the coaching now after already purchasing Academy access? ,Let me know via email. I’ll either provide a payment link with a discount code or guide you through the installment + refund route. We’ll work out the difference so you don’t overpay.                                       
Can I email you if I have additional questions or need help upgrading?                         ,"Yes, just reply to the confirmation email you received when booking your meeting. I’ll help with payment, upgrading, or other support.                                                                                        "
Can I ask sensitive questions without others hearing during group sessions?                                  ,Yes. We can have other participants leave at the end of a session to discuss private matters one-on-one.                                                                                                                      
Can I get support after the program ends if I’m still job hunting?                                           ,"Yes. We offer ongoing support for up to 6 months. Come to coaching sessions, message us, and we’ll help you prepare and improve for interviews until you land a role.                                                         "
"Is the program suitable for someone moving internationally (e.g., to India)?                                 ","Yes. We’re global. Since we’re in Europe and South America, our sessions are typically evening hours in India, making participation convenient for you.                                                                       "
"I’ve just completed a beginner-level course on Python, SQL, AWS, and Airflow. How do I continue my path into Data Engineering? ","You’re on the right track. We’ll define your learning direction based on the roles you're interested in. From there, we create a custom learning plan aligned with your background and goals.                                                   "
How does the program begin and progress?                                                                                       ,"After joining, you’ll get access to our portal. First, you provide background info and book the kickoff session. Then we do a 1:1 call to review your learning plan. From there, you join weekly coaching sessions and start building projects. "
Will I build full data pipelines during the program?                                                                           ,"Yes. Based on your learning plan, you’ll create end-to-end pipelines—from data ingestion to transformation, modeling, storage, and documentation—using real datasets and goals tailored to your target roles.                                   "
Will you help with CVs and applications too?                                                                                   ,"Yes. We review CVs, offer feedback, and guide you through applications. We also discuss your interview experiences and help you improve your answers and approach.                                                                              "
What’s the next cohort start date?                                                                                             ,The next cohort starts on **April 28**.                                                                                                                                                                                                         
What if I’m unsure about foundational skills like Python or SQL—should I review those first?                                   ,"Yes. If you're unsure, we’ll guide you to specific Academy content to strengthen your basics before moving forward with projects.                                                                                                               "
Do I have to wait until a session to ask questions or get help?                                                                ,"No. You can ask us any time via the coaching Discord. We’ll help you with questions, blockers, or understanding topics—between sessions as well.                                                                                                "
I plan to study Python and SQL before the cohort begins. Is there anything else I should prepare?                              ,"Yes. You’ll already have Academy access after purchase, so you can review courses like Python for Data Engineers, SQL for Data Engineers, Docker Fundamentals, and Pipeline/Platform Design theory in advance.                                  "
Do you offer a recruiting or placement service with company connections?                                   ,"Not yet. We're currently building a talent pool first. Once we have a strong network of candidates, we'll start engaging with companies.                                                     "
How long did it take past students in Germany to find a job after coaching?                                ,One recent student started applying after two months and secured a job after five months total. Timelines vary depending on background and effort.                                           
"I’ve done Spark, Azure basics, some AI/LLM work, and follow other courses—how can your program still help? ","Since you already know a lot, our focus would be on project refinement, CV improvement, and helping you better present your skills, including GitHub, LinkedIn, and interview prep.          "
I’m getting interviews and passing technical rounds—why am I still not getting offers?                     ,"Could be presentation, CV gaps, or perceived issues (e.g., your German level). We can help polish your materials, strengthen your portfolio, and coach you on strategy.                      "
Could my German level (B2) be the reason I’m not landing offers?                                           ,"Possibly, if companies require C1. But B2 is typically sufficient for tech roles, especially if your teams and tooling are English-focused.                                                  "
Companies aren’t giving interview feedback—is this normal?                                                 ,"Yes, unfortunately. In Germany, companies often avoid giving feedback due to legal concerns—it’s frustrating but common.                                                                     "
What would you focus on for someone in my position?                                                        ,"We'd start with CV optimization, job market research, identifying key tools companies need, and building a new project around that. Also, strengthening cloud experience would be important. "
Does my current GitHub and LinkedIn need work?                                                             ,"Your LinkedIn looks okay. GitHub could benefit from polishing and adding a current project. Adding something recent to your resume (e.g., freelancing) would help cover gaps.                "
Do you help with interview preparation during the process?                                                 ,"Yes, we guide you through interview feedback, prep, and positioning. We also add you to our talent pool and try to connect you to relevant opportunities where possible.                     "
What’s missing from my current profile?                                                                    ,"You need more hands-on cloud experience. A project on Azure or AWS, plus certification prep (like DP-203), would help round out your portfolio.                                              "
How long does coaching access last?                                                                        ,"Coaching includes **six months** of support. If you find a job during that time, we can continue supporting you during onboarding or learning new on-the-job skills.                         "
"If I join now, when can I start?                                                                           ","You can start **immediately**. Book a kickoff, get your learning plan, and join the next available coaching session (e.g., Fridays with Andreas, or mid-week with other mentors).            "
I’ve been working in data governance—how can I get a more structured education in data engineering?       ,"We’ll help you define your goals, create a custom learning plan, and guide you through building one or more end-to-end projects based on your background and aspirations.                                      "
How do we determine what tools and technologies I should focus on?                                        ,"We base this on your career goals and previous experience. You'll help us understand your needs via a short form and your CV. From there, we build a tailored roadmap and select relevant tools and platforms. "
Can this program support combining data governance and data engineering skills?                           ,"Absolutely. You can build a project that includes both engineering and governance components, which is valuable for specialized roles in data quality and compliance.                                          "
What kind of support do I get throughout the coaching?                                                    ,"You get six months of support via weekly live sessions with Andreas, Santiago, or Roque, and can ask questions any time. We provide technical help, project feedback, motivation, and accountability.          "
How does this coaching keep me motivated?                                                                 ,"The structure, accountability from weekly sessions, and one-on-one interaction help you stay focused. You’ll also have milestones, a personal board, and regular check-ins.                                    "
Should I begin by studying courses like SQL and Python before the program?                                ,"Not necessary. Once you join, we’ll create a learning plan and recommend only the courses relevant to your goals—so you don’t waste time on content you don’t need.                                            "
Can I include governance tools like Monte Carlo or Applan in my portfolio?                                ,"Yes. If you’ve used those tools, it makes sense to highlight them in your project. Combining governance and engineering is a strong differentiator in the job market.                                          "
Is the goal of this program to help me land a full-time data engineering job or support hybrid roles too? ,"Both. You can transition into full-stack or hybrid roles (like data quality engineering) that bridge governance and engineering, depending on your strengths and goals.                                        "
Is now a good time to invest in data engineering skills?                                                  ,Yes. Many companies are realizing the importance of strong data engineering. It’s a great time to strengthen your skills and become more technical.                                                            
What happens after I enroll?                                                                              ,"You’ll receive a private board, a form to submit your background and goals, and access to schedule your kickoff session. Coaching starts with the next group (e.g., April 17).                                 "
"What time are the weekly sessions, and are they suitable for U.S. time zones?                             ","Yes. Andreas hosts Friday afternoon sessions (morning U.S. time), and Santiago or Roque host evening sessions that work for U.S. East Coast time (around 6–7 p.m.).                                            "
